Plot_ID	EP_Plot_ID	Exploratory	Latitude	Longitude	Landuse
H14529	HEG17	HAI	51.07	10.472	Grassland
H14707	HEG8	HAI	51.27	10.424	Grassland
H150	HEW6	HAI	51.27	10.248	Forest
H13939	HEW39	HAI	51.09	10.474	Forest
H1363	HEW10	HAI	51.09	10.46	Forest
H13708	HEG42	HAI	51.07	10.464	Grassland
H12850	HEG7	HAI	51.27	10.414	Grassland
H12905	HEW37	HAI	51.08	10.462	Forest
H130	HEW17	HAI	51.28	10.238	Forest
H13104	HEW38	HAI	51.08	10.466	Forest
H12504	HEW50	HAI	51.09	10.462	Forest
H12643	HEG16	HAI	51.03	10.466	Grassland
H1192	HEW34	HAI	51.08	10.45	Forest
H10804	HEW36	HAI	51.11	10.416	Forest
A7116	AEG25	ALB	48.4	9.266	Grassland
A7321	AEW7	ALB	48.4	9.264	Forest
A8338	AEG(10)_canceled	ALB	48.39	9.272	Grassland
H104	HEW23	HAI	51.28	10.21	Forest
A5149	AEW17	ALB	48.4	9.244	Forest
A5276	AEW4	ALB	48.4	9.242	Forest
A53417	AEG40	ALB	48.41	9.576	Grassland
A5863	AEW12	ALB	48.37	9.252	Forest
A6296	AEW50	ALB	48.39	9.25	Forest
A6692	AEW31	ALB	48.38	9.262	Forest
A46500	AEG18	ALB	48.38	9.526	Grassland
A48112	AEG3	ALB	48.41	9.537	Grassland
A49542	AEG43	ALB	48.41	9.543	Grassland
A45310	AEG22	ALB	48.4	9.51	Grassland
A46088	AEG14	ALB	48.38	9.526	Grassland
A46114	AEG17	ALB	48.4	9.522	Grassland
A43486	AEW45	ALB	48.39	9.56	Forest
A43687	AEG9	ALB	48.39	9.52	Grassland
A43953	AEG49	ALB	48.46	9.54	Grassland
A4506	AEW39	ALB	48.38	9.244	Forest
A45122	AEG23	ALB	48.42	9.51	Grassland
A42306	AEG24	ALB	48.4	9.496	Grassland
A4246	AEW18	ALB	48.37	9.236	Forest
A42708	AEW34	ALB	48.39	9.56	Forest
A43134	AEG48	ALB	48.42	9.54	Grassland
A43366	AEG34	ALB	48.46	9.5	Grassland
A41892	AEW33	ALB	48.39	9.494	Forest
A41959	AEG33	ALB	48.45	9.498	Grassland
A42131	AEG8	ALB	48.42	9.492	Grassland
A42175	AEG28	ALB	48.46	9.498	Grassland
A41483	AEW23	ALB	48.39	9.496	Forest
A41172	AEG32	ALB	48.47	9.492	Grassland
A40320	AEG27	ALB	48.42	9.482	Grassland
A39499	AEW27	ALB	48.4	9.474	Forest
A39748	AEW49	ALB	48.45	9.482	Forest
A38525	AEG50	ALB	48.41	9.478	Grassland
A39275	AEG2	ALB	48.38	9.476	Grassland
A39288	AEW48	ALB	48.39	9.474	Forest
A37099	AEG45	ALB	48.4	9.464	Grassland
A37367	AEG31	ALB	48.46	9.466	Grassland
