LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Poa angustifolia	Narrow-leaved Meadow-grass	Schmalblättriges Wiesen-Rispengras	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa
Bryophyta	bryophytes	Laubmoose	Plantae	Bryophyta	na	na	na	na
Picea	spruce	Fichte	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea
Picea abies	Norway Spruce, European Spruce	Gemeine Fichte, Rotfichte, Rottanne	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea
Anthriscus sylvestris	Cow Parsley, Wild Chervil, Wild Beaked Parsley, Keck, Queen Annes lace, Mother-die	Wiesenkerbel, Wild-Kälberkropf	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus
Cerastium holosteoides	Common Mouse-Ear Chickweed	Gewöhnliches Hornkraut, Gemeines Hornkraut	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Cerastium
Crepis biennis	Rough Hawksbeard	Wiesen-Pippau, Zweijähriger Pippau	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis
Geranium pratense	Meadow Cranes-Bill	Wiesen-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Geranium pyrenaicum	na	Pyrenäen-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Geranium sylvaticum	Wood Cranesbill	Wald-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Heracleum sphondylium	American Cow-Parsnip	Wiesen-Bärenklau, Gemeiner Bärenklau	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum
Lamium album	White Dead Nettle	Weiße Taubnessel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamium
Leucanthemum vulgare	oxeye daisy	Magerwiesen-Margerite, Wiesen-Margerite, Wiesen-Wucherblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Leucanthemum
Myosotis arvensis	Field Forget-me-not	Acker-Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Boraginaceae	Myosotis
Ranunculus acris	meadow buttercup, tall buttercup, giant buttercup	Scharfer Hahnenfuß	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus
Silene dioica	Red campion	Rote Lichtnelke, Rotes Leimkraut, Rote Nachtnelke, Rote Waldnelke, Taglichtnelke, Herrgottsblut	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene
Taraxacum officinale	common dandelion	Gewöhnliche Löwenzahn	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum
Tragopogon pratensis orientalis	Meadow Salsify, Showy Goats-beard, Jack-go-to-bed-at-noon	Östlicher Wiesen-Bocksbart	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tragopogon
Trifolium pratense	Red Clover, Beebread	Rot-Klee, Wiesenklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Veronica arvensis	Corn Speedwell, Common Speedwell, Speedwell, Rock Speedwell, Wall Speedwell	Feld-Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Veronica chamaedrys	germander speedwell, Birds-eye Speedwell	Gamander-Ehrenpreis, Männertreu, Frauenbiss, Augentrost, Wildes Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Vicia sepium	Bush Vetch	Zaun-Wicke	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia
Carum carvi	Caraway, meridian fennel, Persian cumin	Kümmel, Wiesenkümmel, Gemeiner Kümmel, Echter Kümmel	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Carum
Achillea millefolium	Bloodwort	Gemeine Schafgarbe	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea
Galium mollugo	False Babys Breath	Wiesen-Labkraut, Klein-Wiesen-Labkraut, Weißes Waldstroh, Grasstern, Gemeines Labkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium
Plantago lanceolata	English plantain, buckhorn plantain, lanceleaf Indianwheat, lanceleaf plantain, narrowleaf plantain, ribgrass, ribwort	Spitzwegerich, Spießkraut, Lungenblattl, Schlangenzunge	Plantae	Tracheophyta	Magnoliopsida	Plantaginales	Plantaginaceae	Plantago
Trifolium repens	Dutch Clover, Ladino Clover, White Clover	Weiß-Klee, Kriech-Klee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Alchemilla vulgaris	Ladys Mantle, Lions Foot, Common Ladys Mantle, Common Alchemil	Spitzlappiger Frauenmantel, Gemeiner Frauenmantel, Gewöhnlicher Frauenmantel	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla
Bellis perennis	bruisewort, woundwort, common daisy, lawn daisy, English daisy	Gänseblümchen, Mehrjähriges Gänseblümchen, Maßliebchen, Tausendschön	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Bellis
Capsella bursa-pastoris	shepherds-purse	Gewöhnliches Hirtentäschel, Hirtentäschelkraut	Plantae	Tracheophyta	Magnoliopsida	Capparales	Brassicaceae	Capsella
Valerianella locusta	Corn salad, Lewiston cornsalad, lambs lettuce, fetticus, field salad, mâche, feldsalat, nut lettuce, rapunzel	Gewöhnlicher Feldsalat, Ackersalat, Mausohrsalat, Nüsschen, Nüsslisalat, Rapunzel, Vogerlsalat	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Valerianaceae	Valerianella
Vicia sativa	Common Vetch, Tare, the vetch	Futterwicke, Saatwicke	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia
Microthlaspi perfoliatum	Cotswold Penny-cress	Stängelumfassendes Hellerkraut, Durchwachsenblättriges Täschelkraut, Öhrchen-Hellerkraut	Plantae	Tracheophyta	Magnoliopsida	Capparales	Brassicaceae	Microthlaspi
Tragopogon pratensis pratensis	na	Gewöhnlicher Wiesen-Bocksbart	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tragopogon
Aegopodium podagraria	ground elder, herb gerard, bishops weed, goutweed, snow-in-the-mountain	Giersch, Geißfuß, Dreiblatt, Ziegenkraut, Ziegenfuß, Zipperleinskraut, Wiesenholler, Schettele, Zaungiersch, Baumtropf	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Aegopodium
Galium aparine	Cleavers, Clivers, Goosegrass, Stickywilly, Stickyjack, Stickyweed, Stickyleaf, Catchweed, Robin-run-the-hedge, Coachweed, Bedstraw	Kletten-Labkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium
Medicago lupulina	Black Medic English, Black Medick, Hop Clover, Yellow Trefoil	Gelbklee, Hopfen-Luzerne, Hopfenklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago
Prunella vulgaris	common selfheal, heal all, healall, selfheal, heart-of-the-earth	Kleine Braunelle, Kleine Brunelle, Gewöhnliche Braunelle	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Prunella
Stellaria graminea	grassleaf starwort, common stitchwort	Gras-Sternmiere, Grasmiere	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Stellaria
Lathyrus pratensis	Meadow vetchling, Meadow Pea, Meadow pea-vine	Wiesen-Platterbse	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus
Lysimachia nummularia	Creeping Jenny, Moneywort, Herb Twopence, Twopenny grass	Pfennigkraut, Münzkraut, Pfennig-Gilbweiderich	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Lysimachia
Cruciata laevipes	Crosswort, Smooth Bedstraw	Gewimpertes, Gewöhnliches Kreuzlabkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Cruciata
Crepis capillaris	Smooth Hawksbeard	Kleinköpfiger Pippau, Kleinblütiger Pippau, Grüner Pippau	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis
Silene latifolia	White Campion	Weiße Lichtnelke, Weiße Nachtnelke, Weißes Leimkraut, Nacht-Lichtnelke, Nachtnelke	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene
Agrimonia eupatoria	Agrimony, common agrimony, church steeples, sticklewort	Gemeine Odermennig, Ackerkraut, Kleiner Odermennig	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Agrimonia
Chaerophyllum aureum	na	Gold-Kälberkropf	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum
Chaerophyllum hirsutum	na	Behaarter Kälberkropf, Rauhaariger Kälberkropf, Wimper-Kälberkropf, Bach-Kälberkropf	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum
Cirsium arvense	Creeping Thistle	Acker-Kratzdistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium
Convolvulus arvensis	European bindweed, creeping jenny, field bindweed, morningglory, perennial morningglory, smallflowered morning glory	Ackerwinde	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus
Daucus carota	wild carrot, birds nest, bishops lace, Queen Annes lace	Wilde Möhre	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus
Geranium dissectum	Cut-leaved Cranesbill	Schlitzblättriger Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Pilosella aurantiaca	Fox-and-cubs, Orange Hawkweed, Tawny Hawkweed, Devils Paintbrush, Grim-the-collier	Orangerotes Habichtskraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Pilosella
Hypericum perforatum	St Johns wort, Tiptons weed, chase-devil, Klamath weed	Echtes Johanniskraut, Echt-Johanniskraut, Gewöhnliches Johanniskraut, Durchlöchertes Johanniskraut, Tüpfel-Johanniskraut, Tüpfel-Hartheu	Plantae	Tracheophyta	Magnoliopsida	Theales	Clusiaceae	Hypericum
Lotus corniculatus	Birds-foot Trefoil, Birdsfoot Trefoil, birdfoot deervetch, bloomfell, cats clover, crowtoes, garden birds-foot-trefoil, garden birdsfoot trefoil, ground honeysuckle	Gemeiner Hornklee, Schotenklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus
Plantago media	hoary plantain, lanceleaf plantain	Mittlere Wegerich	Plantae	Tracheophyta	Magnoliopsida	Plantaginales	Plantaginaceae	Plantago
Rhinanthus alectorolophus	Greater Yellow Rattle	Zottiger Klappertopf	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Rhinanthus
Valeriana officinalis	Valerian	Echter Baldrian	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Valerianaceae	Valeriana
Senecio jacobeaeformis	Ragwort	Jakobs-Greiskraut, Jakobs-Kreuzkraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Senecio
Knautia arvensis	Field Scabious	Acker-Witwenblume, Wiesen-Witwenblume, Nähkisselchen, Wiesenskabiose	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Dipsacaceae	Knautia
Thymus pulegioides	lemon thyme	Breitblättriger Thymian, Gemeiner Thymian, Gewöhnlicher Thymian, Quendel-Thymian, Arznei-Thymian, Feld-Thymian	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Thymus
Pimpinella major	Greater Burnet-saxifrage, Hollowstem Burnet Saxifrage	Große Bibernelle, Große Pimpinelle	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Pimpinella
Ranunculus nemorosus	na	Wald-Hahnenfuß, Hain-Hahnenfuß	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus
Ranunculus repens	creeping buttercup	kriechender Hahnenfuß	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus
Asperula cynanchica	squinancywort, squincywort	Hügel-Meier, Hügel-Meister, Bräunewurzel	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Asperula
Dianthus carthusianorum	Carthusian Pink	Karthäuser-Nelke	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Dianthus
Euphorbia cyparissias	Bonapartes Crown	Zypressen-Wolfsmilch	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia
Cirsium acaule	Dwarf Thistle	Stängellose Kratzdistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium
Euphrasia stricta	Eyebright, Eyewort	Gemeiner Augentrost, Großer Augentrost	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Euphrasia
Campanula rotundifolia	harebell	Rundblättrige Glockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula
Anthyllis vulneraria	Kidney Vetch	Gemeiner Wundklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Anthyllis
Galium pumilum	Slender Bedstraw	Triften-Labkraut, Heide-Labkraut, Niedriges Labkraut, Zierliches Labkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium
Galium verum	Ladys Bedstraw, Yellow Bedstraw	Echtes Labkraut, Gelbes Waldstroh, Liebfrauenbettstroh, Liebkraut, Gliedkraut, Gelb-Labkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium
Helianthemum nummularium	Common Rockrose	Gelbes Sonnenröschen, Gewöhnliches Sonnenröschen, Gemeines Sonnenröschen, Sonnenröschen, Sonnenwendröschen	Plantae	Tracheophyta	Magnoliopsida	Malvales	Cistaceae	Helianthemum
Pilosella officinarum	Mouse-Ear Hawkweed	Kleines Habichtskraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Pilosella
Hippocrepis comosa	Horseshoe Vetch	Gewöhnlicher Hufeisenklee, Schopfiger Hufeisenklee, Hufeisenklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Hippocrepis
Leontodon hispidus	na	Steifhaarige Löwenzahn, Rauer Löwenzahn	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Leontodon
Linum catharticum	Fairy Flax	Purgier-Lein, Wiesen-Lein	Plantae	Tracheophyta	Magnoliopsida	Linales	Linaceae	Linum
Polygala comosa	Tufted Milkwort	Schopfige Kreuzblume	Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae	Polygala
Prunella grandiflora	Large Self-heal	Großblütige Braunelle, Große Braunelle	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Prunella
Ranunculus bulbosus	St Anthonys turnip, bulbous buttercup	Knolliger Hahnenfuß	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus
Scabiosa columbaria	Pigeon scabious, Pincushion flower, Small scabious, Dove pincushion	Tauben-Skabiose, Tauben-Grindkraut	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Dipsacaceae	Scabiosa
Teucrium montanum	na	Berg-Gamander	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium
Trifolium dubium	Lesser Hop Trefoil, suckling clover	Faden-Klee, Kleiner Klee, Zweifelhafter Klee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Trifolium montanum	na	Berg-Klee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Leucanthemum ircutianum	na	Fettwiesen-Margerite	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Leucanthemum
Fagus	beech	Buchen	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus
Fagus sylvatica	European Beech, Common Beech	Rotbuche	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus
Colchicum autumnale	autumn crocus, meadow saffron, naked lady	Herbst-Zeitlose, Herbstzeitlose	Plantae	Tracheophyta	Liliopsida	Liliales	Colchicacee	Colchium
Dactylis glomerata	Cocksfoot	Gewöhnliches Knäuelgras, Wiesen-Knäuelgras, Knaulgras	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Dactylis
Festuca	Fescue	Schwingel	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Festuca
Poa	meadow-grass, bluegrass, tussock, speargrass	Rispengräser	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa
Glechoma hederacea	Ground-ivy, gill-over-the-ground, Creeping Charlie	Gundermann, Gundelrebe	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Glechoma
Campanula patula	Spreading Bellflower	Wiesen-Glockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula
Stachys officinalis	common hedgenettle	Heil-Ziest, Echte Betonie, Flohblume, Pfaffenblume, Zahnkraut, Zehrkraut	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys
Anthericum ramosum	na	Rispige Graslilie, Rispen-Graslilie, Kleine Graslilie, Ästige Graslilie	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Asparagaceae	Anthericum
Genista sagittalis	na	Gewöhnlicher Flügelginster	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Genista
Cirsium vulgare	Spear Thistle	Gewöhnliche Kratzdistel, Lanzett-Kratzdistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium
Fragaria vesca	wild strawberries, woodland strawberry	Wald-Erdbeere, Monatserdbeere	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria
Origanum vulgaris	Oregano	Oregano, Dorst, Dost, Echter Dost, Gemeiner Dost, Wilder Majoran	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Origanum
Ophrys apifera	bee orchid	Bienen-Ragwurz	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Ophrys
Rhinanthus angustifolius	Narrow-leaved Rattle	Großer Klappertopf	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Rhinanthus
Rhinanthus minor	little yellow-rattle, little yellowrattle, Cockscomb, Hayrattle	Kleiner Klappertopf	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Rhinanthus
Trifolium medium	Zigzag Clover	Mittlerer Klee, Zickzack-Klee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Veronica teucrium	Large Speedwell	Großer Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Scabiosa canescens	Fragrant scabious	Duft-Skabiose, Orchideen-Skabiose, Graue Skabiose	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Dipsacaceae	Scabiosa
Crepis alpestris	na	Alpen-Pippau	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis
Medicago sativa	Alfalfa	Luzerne	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago
Vicia cracca	tufted vetch, cow vetch, bird vetch, boreal vetch	Vogel-Wicke	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia
Juniperus communis	Common Juniper	Gemeiner Wacholder, Heide-Wacholder	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus
Myosotis sylvatica	Wood Forget-me-not	Wald-Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Boraginaceae	Myosotis
Salvia pratensis	Meadow Clary, Meadow Sage	Wiesensalbei	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia
Veronica	na	Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Alchemilla	Ladys mantle	Frauenmantel	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla
Geranium molle	Dovesfoot Cranesbill, Dovesfoot Geranium	Weicher Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Knautia dipsacifolia	Forest scabious	Wald-Witwenblume, Wald-Knautie	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Dipsacaceae	Knautia
Myosotis asiatica	Alpine Forget-me-not	Alpen-Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Boraginaceae	Myosotis
Geranium columbinum	Long-stalked Cranes-bill, Longstalk Cranesbill	Stein-Storchschnabel, Tauben-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Stellaria media	common chickweed, Chickenwort, Craches, Maruns, Winterweed	Gewöhnliche Vogelmiere, Vogel-Sternmiere, Hühnerdarm	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Stellaria
Veronica persica	Persian speedwell, large field speedwell, birds-eye, winter speedwell	Persischer Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Cirsium	Plume thistles	Kratzdisteln	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium
Polygala amara	Bitter Milkwort	Bittere Kreuzblume	Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae	Polygala
Ononis spinosa procurrens	Common Restharrow	Kriechender Hauhechel	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis
Stachys recta	seaport hedgenettle, Stiff Hedgenettle, Perennial yellow woundwort	Aufrechter Ziest, Heide-Ziest, Berg-Ziest	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys
Buphthalmum salicifolium	Yellow oxeye dais	Ochsenauge, Weidenblättriges Ochsenauge, Rindsauge	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Buphthalmum
Centaurea jacea	Brown Knapweed, Brownray Knapweed	Wiesen-Flockenblume, Gewöhnliche Flockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea
Campanula rapunculoides	Creeping Bellflower, Rampion Bellflower	Acker-Glockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula
Centaurea scabiosa	Greater Knapweed	Skabiosen-Flockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea
Silene alba	White Campion	Weiße Lichtnelke, Weiße Nachtnelke, Weißes Leimkraut, Nacht-Lichtnelke, Nachtnelke	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene
Asteraceae	aster, daisy, sunflower family	Korbblütler, Korbblütengewächse, Asterngewächse, Köpfchenblütler	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	na
Ajuga reptans	common bugle, Bugelweed	Kriechender Günsel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga
Geranium pusillum	Small-flowered Cranesbill	Kleiner Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Veronica agrestis	Green Field-speedwell	Acker-Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Acinos arvensis	Basil thyme	Feld-Steinquendel, Gemeiner Steinquendel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Acinos
Carduus acanthoides	spiny plumeless thistle, welted thistle	Weg-Distel, Stachelige Distel, Bärenklauartige Distel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Carduus
Antennaria dioica	Mountain Everlasting, Catsfoot, Cudweed, Stoloniferous Pussytoes	Gewöhnliches Katzenpfötchen	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Antennaria
Dactylorhiza majalis	western marsh orchid, broad-leaved marsh orchid, fan orchid, common marsh orchid, Irish Marsh-orchid	Breitblättriges Knabenkraut, Breitblättrige Fingerwurz	Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Dactylorhiza
Crataegus monogyna	common hawthorn, single-seeded hawthorn, may, mayblossom, maythorn, quickthorn, whitethorn, motherdie, haw	Eingriffeliger Weißdorn, Hagedorn	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Crataegus
Galega officinalis	goats rue, French lilac, Italian fitch, professor-weed	Geißraute, Bockskraut, Fleckenkraut, Geissklee, Pockenraute, Suchtkraut, Ziegenraute	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Galega
Hypericum maculatum	Imperforate St Johns-wort	Geflecktes Johanniskraut, Kanten-Johanniskraut	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum
Pimpinella saxifraga	Burnet Saxifrage	Kleine Bibernelle, Gemeine Bibernelle, Stein-Bibernelle, Steinbrechwurz, Steinpetersilie, Bockwurz, Pfefferkraut, Bumbernell	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Pimpinella
Gentiana verna	na	Frühlings-Enzian, Schusternagerl, Rauchfangkehrer, Himmelsbläueli, Herrgottsliechtli, Tintabluoma, Himmelsstengel	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana
Stellaria nemorum	Wood Stitchwort	Hain-Sternmiere, Wald-Sternmiere	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Stellaria
Sanguisorba minor	Salad Burnet, Garden burnet, Small burnet, burnet	Kleiner Wiesenknopf	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sanguisorba
Senecio erucifolius	hoary ragwort	Raukenblättriges Greiskraut, Raukenblättriges Kreuzkraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Senecio
Potentilla verna	Alpine Cinquefoil	Frühlings-Fingerkraut	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Potentilla
Jacobaea vulgaris	ragwort benweed, tansy ragwort, St. James-wort, Ragweed, Stinking Nanny/Ninny/Willy, Staggerwort, Dog Standard, Cankerwort, Stammerwort, Mares Fart	Jakobs-Greiskraut, Jakobs-Kreuzkraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Jacobaea
Myosotis scorpioides	Water Forget-me-not, True Forget-me-not	Sumpf-Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Boraginaceae	Myosotis
Ajuga genevensis	upright bugle, blue bugle, Geneva bugleweed, blue bugleweed	Genfer Günsel, Heide-Günsel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga
Anagallis arvensis	Scarlet pimpernel, red pimpernel, red chickweed, poormans barometer, poor mans weather-glass, shepherds weather glass, shepherds clock	Acker-Gauchheil, Roter Gauchheil, Nebelpflanze, Weinbergsstern, Wetterkraut	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Anagallis
Epilobium montanum	Broad-leaved Willowherb	Berg-Weidenröschen	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Epilobium
Cirsium palustre	marsh thistle, European swamp thistle	Sumpf-Kratzdistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium
