LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Campylopus introflexus	na	Kaktusmoos, Langhaariges Krummstielmoos, Haartragendes Krummstielmoos	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Campylopus
Bryopsida	na	Laubmoose im engeren Sinne	Plantae	Bryophyta	Bryopsida	na	na	na
Brachythecium laetum	na	na	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Brachythecium
Metzgeria temperata	na	na	Plantae	Bryophyta	Jungermanniopsida	Metzgeriales	Metzgeriaceae	Metzgeria
Eurhynchium flotowianum	na	Reichenbachs Schönschnabelmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Eurhynchium
Dicranum flagellare	whip fork moss	Peitschen-Gabelzahnmoos	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Dicranum
Plagiothecium succulentum	juicy silk-moss	na	Plantae	Bryophyta	Bryopsida	Hypnales	Plagiochilaceae	Plagiothecium
Brachythecium reflexum	reflexed feather-moss	na	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Brachythecium
Plagiomnium rostratum	long-beaked thyme-moss	na	Plantae	Bryophyta	Bryopsida	Bryales	Mniaceae	Plagiomnium
Fissidens bryoides	lesser pocket-moss	na	Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens
Ptychodium	na	na	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae	Ptychodium
Orthotrichum cupulatum	hooded bristle-moss	na	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Orthotrichum
Eurhynchium	na	Schönschnabelmoose	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Eurhynchium
Orthodontium lineare	cape thread-moss	na	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Orthodontium
Calypogeia muelleriana	na	na	Plantae	Bryophyta	Jungermanniopsida	Jungermanniales	Calypogeiaceae	Calypogeia
